one,two,three,four,five,six,seven,eight,nine,ten,min,losses,draws,wins,WinRatio
0.0,0.0,12.0,0.0,0.0,22.0,0.0,0.0,34.0,32.0,0.0,836.0,13.0,2444.0,0.7421803826298208
2.0,2.0,2.0,13.0,17.0,2.0,3.0,5.0,33.0,21.0,2.0,819.0,40.0,2434.0,0.7391436380200425
0.0,0.0,0.0,14.0,18.0,0.0,0.0,0.0,34.0,34.0,0.0,836.0,33.0,2424.0,0.7361068934102643
0.0,1.0,11.0,2.0,2.0,1.0,22.0,32.0,5.0,24.0,0.0,848.0,29.0,2416.0,0.7336774977224415
0.0,1.0,2.0,16.0,20.0,3.0,2.0,2.0,32.0,22.0,0.0,852.0,25.0,2416.0,0.7336774977224415
1.0,1.0,1.0,15.0,17.0,1.0,1.0,1.0,30.0,32.0,1.0,859.0,19.0,2415.0,0.7333738232614637
0.0,0.0,0.0,14.0,21.0,1.0,0.0,1.0,33.0,30.0,0.0,855.0,23.0,2415.0,0.7333738232614637
0.0,1.0,1.0,16.0,21.0,2.0,2.0,3.0,32.0,22.0,0.0,854.0,25.0,2414.0,0.7330701488004859
0.0,7.0,1.0,0.0,0.0,1.0,28.0,1.0,33.0,29.0,0.0,848.0,31.0,2414.0,0.7330701488004859
0.0,0.0,0.0,18.0,18.0,2.0,2.0,2.0,34.0,24.0,0.0,860.0,20.0,2413.0,0.732766474339508
0.0,1.0,2.0,16.0,21.0,2.0,3.0,1.0,32.0,22.0,0.0,851.0,32.0,2410.0,0.7318554509565746
0.0,0.0,0.0,15.0,18.0,0.0,0.0,0.0,33.0,34.0,0.0,848.0,35.0,2410.0,0.7318554509565746
0.0,1.0,2.0,16.0,21.0,2.0,3.0,1.0,32.0,22.0,0.0,851.0,32.0,2410.0,0.7318554509565746
0.0,1.0,2.0,16.0,21.0,2.0,3.0,1.0,32.0,22.0,0.0,851.0,32.0,2410.0,0.7318554509565746
0.0,0.0,1.0,17.0,22.0,2.0,1.0,1.0,33.0,23.0,0.0,867.0,22.0,2404.0,0.7300334041907076
0.0,0.0,12.0,0.0,0.0,26.0,0.0,0.0,29.0,33.0,0.0,876.0,14.0,2403.0,0.7297297297297297
